,danceability,energy,valence,tempo,loudness,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity_total,number,vector_length
1942,-0.27747940293297824,-0.17842433245337316,-0.25187656063740654,-0.06491051774788285,-0.11518452149991483,0.31061274705290753,0.4719555422220628,0.007982559559724402,-0.07677536775249041,-0.03976077085421666,0.6953314876482176,3.0,3.0,4.9357612963582795
1944,-0.2844135134215344,-0.22346259966090792,-0.22621345018649336,-0.09251727214785997,-0.3206780078326241,0.29130755088365357,0.487901243963191,-0.02069559129179512,-0.06735970927901887,-0.03553042431353604,0.6143869322258703,11.0,3.0,5.52342612527843
1945,0.21773115392945044,-0.32630505782427366,0.42116524931943067,0.1719667289486151,-0.14624779949222244,0.5122893796755109,-0.1409108004723625,-0.08833176169339883,0.081677575407289,-0.10753416315684464,-0.5562763944108612,4.0,2.0,1.8249983831591425
1946,-0.30266127356776606,-0.34280864447448584,-0.40018271703372627,-0.14598641643908783,-0.44361804785392633,0.2871671774728337,0.50334515469262,-0.12847182626603476,-0.08837112342866918,-0.05393213395990635,-0.22266275021443674,3.0,2.0,3.638826419171671
1947,-0.39631343870996283,-0.26039362807016037,-0.29652645928366345,-0.13664262531655938,-0.2256294657530476,0.36921109420847514,0.6708107486582393,-0.10204138809924837,-0.08046735643590684,-0.04616189409306244,-0.11090878877852338,118.0,8.0,4.251334953890178
1949,-0.3959365092893187,-0.24535491943893634,-0.2477895692860038,-0.1815603936396004,-0.19653173892525685,0.25672333698845246,0.48586218354466393,-0.022929288800805893,-0.06750669564375995,-0.03995257467328246,0.5842932696090704,10.0,4.0,4.912065755473106
1950,0.27574002102705714,0.3311388998846664,0.4696928222516538,-0.3472352461363493,0.10704481235268856,0.5471422626085968,0.019775463488552053,-0.016596266746199434,-0.20184061836846098,-0.10187829089657509,-0.33244884202465064,125.0,8.0,1.926314940784017
1951,-0.3008284285803306,-0.11854930763074369,0.028620827760121745,-0.2501954364538568,0.14376497898528473,0.6090307364374324,0.42336017053181957,-0.13003268592792377,-0.0014076005143296734,-0.10213034753729573,-0.4836007447020019,2.0,2.0,1.9215608154466222
1952,-0.5235097386246086,-0.253541667472364,-0.38666907829857033,-0.22189936845841407,-0.11287044796958891,0.32130773387171835,0.5701814843463586,0.04106277206656009,-0.08785278998729733,-0.04542039217920152,-0.10173136998935764,306.0,16.0,4.320739308487911
1953,-0.4657312750207163,-0.2311856674992003,-0.345397651257375,-0.21783200083288548,-0.09577171604307674,0.3549360967449756,0.6241798672090715,0.017874359014019306,-0.0914966545777309,-0.04976335379661479,-0.16424787865864024,31.0,14.0,3.943658514208965
1954,-0.3827801701656317,-0.29496528205225503,-0.30178312277163555,-0.25590824702088816,-0.14900906544359147,0.40987018799569613,0.6168898686473663,-0.05917436026060476,-0.06017938982270589,-0.06240085601699405,-0.16776568866605707,688.0,55.0,3.1449836816688372
1955,-0.5975511295307484,-0.14064917400892538,-0.44652234994940443,-0.1972850845174052,0.0038277453620918327,0.27467285624292326,0.5370227444557178,-0.06605565791552087,-0.06854254215786684,-0.06071472273347155,-0.0908068203995939,98.0,23.0,3.232324303894448
1956,-0.43244099523077534,-0.24045960194789612,-0.3547494146190599,-0.055392117188775396,-0.07186493985825043,0.4170743290701988,0.5896163081265138,0.018702729236268378,-0.15924604242735824,-0.09066479052796418,-0.25605932309835555,544.0,43.0,2.164563252755574
1957,-0.32341543241048337,-0.42860577544965855,-0.32592201765130946,-0.12787950833910586,-0.34685609405669277,0.4155349158450172,0.453293694829076,-0.05633131614785294,-0.12839987948858694,-0.0749526545641955,-0.2557146464063916,584.0,42.0,2.6183151889240803
