,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),Unnamed: 19,genre,genre_id
12810,['Billie Holiday'],[79016],0.503,0.0659,0.396,104.9,-14.251,0,2,0.975,5.87e-06,0.178,0.0414,0,181200,0,1924,1924,All of Me (with Eddie Heywood & His Orchestra),,Vocal,4.0
34055,['Frank Sinatra'],[792507],0.499,0.0748,0.429,113.268,-13.552,1,1,0.924,0.014,0.55,0.044,0,193840,3,1925,1925,Imagination,,Vocal,4.0
29492,['Ella Fitzgerald'],[184502],0.661,0.108,0.678,106.539,-20.662,1,10,0.986,0.696,0.178,0.0419,0,191427,19,1927,1927,All My Life - Live,,Vocal,4.0
74846,['Sarah Vaughan'],[204901],0.589,0.135,0.622,111.819,-13.113,1,8,0.977,6.94e-06,0.108,0.0531,0,181067,0,1927,1927,Ain't Misbehavin' - Live,,Vocal,4.0
67286,['Pearl Bailey'],[38100],0.796,0.319,0.88,92.811,-14.571,1,0,0.968,0.0,0.119,0.47,0,141840,1,1927,1927,******** ***** Fish Fry - Live,,Vocal,4.0
87404,['The Mills Brothers'],[403120],0.581,0.215,0.681,96.569,-19.46,0,8,0.94,1.67e-06,0.307,0.0518,0,176600,0,1927,1927,"Sweet Sue, Just You - Live",,Vocal,4.0
12617,['Billie Holiday'],[79016],0.55,0.135,0.534,78.053,-14.114,0,7,0.985,3.69e-06,0.211,0.0345,0,177933,0,1927,1927,Wherever You Are - Live,,Vocal,4.0
39490,['Helen Ward'],[954694],0.488,0.382,0.492,115.336,-10.347,1,10,0.967,0.149,0.973,0.0392,0,170427,10,1928,1928,You Turned The Tables On Me (with Helen Ward),,Vocal,4.0
18668,['Carmen Miranda'],[181694],0.854,0.374,0.849,126.352,-10.983,0,5,0.994,0.0991,0.407,0.465,0,197924,2,1930,6/14/1930,Ta-hi (Pra Voc锚 Gostar de Mim),,Vocal,4.0
18705,['Carmen Miranda'],[181694],0.782,0.521,0.955,110.851,-10.843,1,7,0.981,0.828,0.142,0.0723,0,212387,1,1930,6/14/1930,Al么 Al么,,Vocal,4.0
6213,['Al Bowlly'],[608166],0.321,0.0656,0.147,107.454,-21.398,1,1,0.95,0.0954,0.098,0.0385,0,207707,2,1930,1930,When the **** played 'Oh Promise Me',,Vocal,4.0
6214,['Al Bowlly'],[608166],0.383,0.112,0.339,86.914,-16.587,1,3,0.971,0.0,0.202,0.074,0,182053,3,1930,1930,Be Still My Heart,,Vocal,4.0
6215,['Al Bowlly'],[608166],0.391,0.137,0.177,95.776,-16.185,0,5,0.968,1.26e-06,0.304,0.0472,0,177040,2,1930,1930,If I Had a Million Dollars,,Vocal,4.0
6216,['Al Bowlly'],[608166],0.489,0.0265,0.259,102.9,-21.093,1,7,0.995,0.0393,0.163,0.0401,0,202747,3,1930,1930,By the Old Oak Tree,,Vocal,4.0
6217,['Al Bowlly'],[608166],0.652,0.0782,0.483,105.555,-19.673,1,8,0.993,8.25e-05,0.187,0.0912,0,183840,3,1930,1930,That's Me Without You,,Vocal,4.0
6218,['Al Bowlly'],[608166],0.337,0.0723,0.196,173.895,-16.871,1,2,0.97,0.000937,0.0866,0.0561,0,179240,16,1930,1930,***** and Day,,Vocal,4.0
6219,['Al Bowlly'],[608166],0.419,0.0378,0.349,175.216,-22.449,1,1,0.991,0.341,0.141,0.0973,0,195067,11,1930,1930,"I'm Gonna Sit Right Down and Write Myself a Letter / Auf Wiedersehen, My Dear",,Vocal,4.0
6220,['Al Bowlly'],[608166],0.582,0.0317,0.244,81.228,-21.242,1,0,0.988,0.000261,0.0595,0.0462,0,203067,8,1930,1930,It's All Forgotten Now,,Vocal,4.0
6221,['Al Bowlly'],[608166],0.46,0.0197,0.182,76.695,-20.795,1,7,0.987,0.000283,0.0625,0.0456,0,165840,4,1930,1930,It Was So Beautiful,,Vocal,4.0
6222,['Al Bowlly'],[608166],0.314,0.0567,0.144,95.833,-18.894,1,7,0.976,3.98e-06,0.101,0.0387,0,196387,4,1930,1930,Lover Come Back to Me,,Vocal,4.0
6223,['Al Bowlly'],[608166],0.435,0.0351,0.166,68.243,-22.593,0,7,0.991,0.269,0.0912,0.0505,0,190413,5,1930,1930,"Lover, Come Back to Me / Dancing in the Dark",,Vocal,4.0
6224,['Al Bowlly'],[608166],0.621,0.0281,0.389,105.501,-21.273,1,7,0.994,2.95e-06,0.324,0.072,0,176613,3,1930,1930,Everything I Have is Yours,,Vocal,4.0
6225,['Al Bowlly'],[608166],0.419,0.054,0.216,166.791,-18.57,1,10,0.973,0.000166,0.116,0.0468,0,188853,3,1930,1930,Madonna Mine,,Vocal,4.0
6226,['Al Bowlly'],[608166],0.593,0.121,0.4,110.544,-17.624,1,8,0.93,0.0,0.0737,0.0609,0,175680,4,1930,1930,What Do You Know About Love?,,Vocal,4.0
6227,['Al Bowlly'],[608166],0.609,0.0524,0.447,117.875,-21.244,0,9,0.994,0.000271,0.0711,0.0615,0,183587,3,1930,1930,The Little Dutch Mill,,Vocal,4.0
6228,['Al Bowlly'],[608166],0.674,0.0245,0.464,136.808,-24.649,1,0,0.993,0.0165,0.156,0.137,0,206840,3,1930,1930,Frankie and Johnny *****,,Vocal,4.0
6229,['Al Bowlly'],[608166],0.336,0.0555,0.19,73.498,-20.57,1,5,0.994,0.000862,0.159,0.0714,0,191947,3,1930,1930,Love Locked Out,,Vocal,4.0
6230,['Al Bowlly'],[608166],0.509,0.0721,0.419,169.277,-21.884,1,4,0.98,2.39e-05,0.108,0.0896,0,181133,3,1930,1930,Isle of Capri,,Vocal,4.0
6233,['Al Bowlly'],[608166],0.411,0.0729,0.461,103.685,-20.567,1,1,0.954,0.000144,0.0771,0.0352,0,195280,2,1930,1930,South of the Border,,Vocal,4.0
6234,['Al Bowlly'],[608166],0.477,0.0751,0.31,77.032,-16.127,1,10,0.99,9.15e-06,0.175,0.0698,0,190680,3,1930,1930,Happy Go Lucky You (and Broken-Hearted Me),,Vocal,4.0
6235,['Al Bowlly'],[608166],0.648,0.122,0.57,80.533,-18.483,1,0,0.994,0.289,0.193,0.113,0,179187,3,1930,1930,You Oughta be in Pictures (My Star of Stars),,Vocal,4.0
6236,['Al Bowlly'],[608166],0.481,0.0636,0.257,64.943,-16.684,1,3,0.96,7.77e-06,0.0798,0.0549,0,191693,3,1930,1930,Fancy Our Meeting,,Vocal,4.0
6237,['Al Bowlly'],[608166],0.62,0.162,0.241,99.571,-17.826,1,3,0.979,0.000736,0.128,0.0685,0,188827,2,1930,1930,Judy,,Vocal,4.0
6238,['Al Bowlly'],[608166],0.187,0.0802,0.0785,81.955,-23.018,1,5,0.941,0.548,0.071,0.0408,0,195080,3,1930,1930,********** Angel,,Vocal,4.0
12410,['Billie Holiday'],[79016],0.768,0.363,0.932,95.268,-10.325,1,5,0.893,0.124,0.193,0.198,0,174400,0,1930,1930,Spreadin' Rhythm Around (with Teddy Wilson & His Orchestra),,Vocal,4.0
57812,['Marlene Dietrich'],[847735],0.366,0.122,0.203,72.82,-13.035,0,7,0.913,7.18e-05,0.0808,0.0417,0,178867,10,1930,1930,Come Rain Or Come Shine,,Vocal,4.0
27650,['Doris Day'],[189644],0.313,0.0569,0.0934,111.775,-19.332,1,8,0.994,0.081,0.0985,0.0362,0,189600,0,1932,1932,The Christmas Song,,Vocal,4.0
47047,['Johnny Mercer'],[244406],0.711,0.279,0.662,116.797,-16.719,1,8,0.962,0.531,0.44,0.108,0,205773,1,1932,1932,Christmas ***** In Harlem,,Vocal,4.0
87403,['The Mills Brothers'],[403120],0.605,0.233,0.74,126.162,-14.853,1,5,0.982,0.0207,0.149,0.0804,0,170945,18,1932,1932,Dinah,,Vocal,4.0
16,"[""Anita O'Day"", 'Roy Eldridge']","[479028, 346637]",0.57,0.523,0.783,76.272,-5.531,1,8,0.961,0.00568,0.0543,0.072,0,187507,1,1932,1932,Thanks For The Boogie Ride,,Vocal,4.0
12433,['Billie Holiday'],[79016],0.504,0.0644,0.403,106.994,-14.754,0,2,0.972,4.36e-06,0.174,0.0408,0,181440,62,1933,1933,All of Me (with Eddie Heywood & His Orchestra),,Vocal,4.0
12434,['Billie Holiday'],[79016],0.64,0.23,0.663,88.868,-10.651,1,8,0.965,5.36e-05,0.101,0.0624,0,182400,50,1933,1933,Easy Living (with Teddy Wilson & His Orchestra),,Vocal,4.0
12435,['Billie Holiday'],[79016],0.484,0.0823,0.191,127.089,-11.273,0,7,0.98,2.47e-06,0.159,0.0364,0,190800,53,1933,1933,Gloomy Sunday (with Teddy Wilson & His Orchestra) - Take *,,Vocal,4.0
12436,['Billie Holiday'],[79016],0.668,0.376,0.837,155.957,-11.406,1,3,0.729,4.97e-05,0.116,0.0682,0,178467,41,1933,1933,Miss ***** to You (with Teddy Wilson & His Orchestra),,Vocal,4.0
12437,['Billie Holiday'],[79016],0.485,0.177,0.253,88.411,-14.282,1,7,0.965,7.37e-05,0.252,0.0428,0,184440,41,1933,1933,The Man I Love,,Vocal,4.0
12438,['Billie Holiday'],[79016],0.741,0.258,0.519,112.008,-11.811,1,3,0.737,0.000661,0.146,0.0412,0,181240,39,1933,1933,I ****** On the Moon (with Teddy Wilson & His Orchestra),,Vocal,4.0
12439,['Billie Holiday'],[79016],0.615,0.115,0.404,105.704,-16.557,1,8,0.968,0.00061,0.127,0.0397,0,189867,40,1933,1933,If You Were Mine (with Teddy Wilson & His Orchestra),,Vocal,4.0
12440,['Billie Holiday'],[79016],0.799,0.492,0.828,134.571,-10.942,1,7,0.779,0.000108,0.154,0.0549,0,176027,36,1933,1933,What a Little Moonlight Can Do (with Teddy Wilson & His Orchestra),,Vocal,4.0
12441,['Billie Holiday'],[79016],0.582,0.216,0.531,95.463,-12.579,1,7,0.934,0.000716,0.317,0.0423,0,197693,33,1933,1933,These Foolish Things (Remind Me of You) (with Teddy Wilson & His Orchestra),,Vocal,4.0
