,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),Unnamed: 19,genre,genre_id
67464,['Peggy Lee'],[467749],0.694,0.293,0.62,128.574,-9.414,0,2,0.976,0.00438,0.276,0.0394,0,192093,38,1928,1928,Why Don't You Do Right? (feat. Peggy Lee),,Avant-Garde,15.0
67465,['Peggy Lee'],[467749],0.753,0.311,0.842,152.942,-12.77,1,3,0.98,0.0632,0.339,0.0623,0,182867,0,1932,1932,Winter Weather,,Avant-Garde,15.0
67527,['Peggy Lee'],[467749],0.753,0.431,0.9,154.173,-10.177,1,3,0.914,0.0171,0.316,0.0505,0,180333,1,1936,1936,Winter Weather - Mono Recording,,Avant-Garde,15.0
67528,['Peggy Lee'],[467749],0.746,0.259,0.808,152.69,-15.288,1,3,0.979,0.0171,0.324,0.0637,0,181107,1,1936,1936,Winter Weather,,Avant-Garde,15.0
67466,['Peggy Lee'],[467749],0.794,0.174,0.656,121.843,-13.544,0,7,0.945,0.00725,0.276,0.0388,0,190573,41,1941,1941,On the Sunny Side of the Street,,Avant-Garde,15.0
67467,['Peggy Lee'],[467749],0.478,0.0274,0.111,79.722,-21.013,0,9,0.984,0.00387,0.0962,0.0342,0,200933,24,1941,1941,Where or When - 78rpm Version,,Avant-Garde,15.0
67468,['Peggy Lee'],[467749],0.718,0.259,0.68,128.843,-11.036,0,2,0.935,0.000321,0.308,0.0379,0,192200,19,1941,1941,Why Don't You Do Right (feat. Peggy Lee),,Avant-Garde,15.0
67469,['Peggy Lee'],[467749],0.828,0.191,0.685,121.94,-10.804,0,7,0.946,0.00347,0.0825,0.0432,0,136227,16,1941,1941,Let's Do It (Let's Fall In Love),,Avant-Garde,15.0
67470,['Peggy Lee'],[467749],0.481,0.0286,0.174,101.772,-24.899,0,9,0.973,1.95e-06,0.123,0.0311,0,197547,17,1941,1941,The Way You Look *******,,Avant-Garde,15.0
67471,['Peggy Lee'],[467749],0.688,0.0666,0.418,79.734,-15.897,1,3,0.969,1.26e-05,0.0763,0.0385,0,195027,13,1941,1941,***** In the *****,,Avant-Garde,15.0
67472,['Peggy Lee'],[467749],0.737,0.363,0.727,131.274,-10.962,1,8,0.929,0.168,0.0977,0.0711,0,188560,13,1941,1941,******** Else Is Taking My Place,,Avant-Garde,15.0
67473,['Peggy Lee'],[467749],0.733,0.431,0.893,153.962,-10.187,1,8,0.911,0.0151,0.292,0.053,0,180427,15,1941,1941,Winter Weather - Mono Recording,,Avant-Garde,15.0
67474,['Peggy Lee'],[467749],0.489,0.125,0.392,93.543,-12.529,0,5,0.978,0.0136,0.317,0.0287,0,194493,12,1941,1941,I Got It Bad (And That Ain't Good),,Avant-Garde,15.0
67475,['Peggy Lee'],[467749],0.523,0.373,0.653,162.996,-11.301,1,10,0.932,0.0303,0.131,0.0557,0,179867,13,1941,1941,I Threw a Kiss In the Ocean,,Avant-Garde,15.0
67476,['Peggy Lee'],[467749],0.67,0.165,0.8,142.661,-12.13,1,7,0.975,0.154,0.306,0.0459,0,170627,13,1941,1941,Elmer's Tune,,Avant-Garde,15.0
67477,['Peggy Lee'],[467749],0.407,0.119,0.235,74.806,-14.228,1,0,0.962,0.00713,0.122,0.0293,0,201533,14,1941,1941,All I Need Is You,,Avant-Garde,15.0
67478,['Peggy Lee'],[467749],0.676,0.145,0.464,110.49,-12.204,0,7,0.973,0.0019,0.0442,0.042,0,162307,12,1941,1941,I See A Million People (But All I Can See Is You),,Avant-Garde,15.0
67479,['Peggy Lee'],[467749],0.634,0.169,0.279,103.23,-11.895,0,7,0.984,0.0696,0.184,0.0302,0,184267,12,1941,1941,How **** Is the Ocean (feat. Peggy Lee),,Avant-Garde,15.0
67480,['Peggy Lee'],[467749],0.705,0.306,0.726,163.903,-13.139,1,1,0.948,0.242,0.333,0.0546,0,164733,11,1941,1941,Shady Lady Bird,,Avant-Garde,15.0
67481,['Peggy Lee'],[467749],0.737,0.35,0.712,128.831,-9.996,1,10,0.919,0.000198,0.192,0.0477,0,149040,11,1941,1941,"That Did It, Marie",,Avant-Garde,15.0
67482,['Peggy Lee'],[467749],0.829,0.269,0.741,130.432,-10.27,0,7,0.934,0.159,0.0411,0.0388,0,200360,11,1941,1941,******** ****** Loves,,Avant-Garde,15.0
67483,['Peggy Lee'],[467749],0.36,0.0784,0.124,73.634,-13.068,0,2,0.986,0.00523,0.137,0.0371,0,195533,11,1941,1941,How Long Has This Been Going On?,,Avant-Garde,15.0
67484,['Peggy Lee'],[467749],0.693,0.298,0.762,144.828,-10.564,1,3,0.942,0.000777,0.161,0.044,0,182400,10,1941,1941,If You Build a Better Mousetrap,,Avant-Garde,15.0
67485,['Peggy Lee'],[467749],0.476,0.111,0.166,78.602,-14.118,1,10,0.972,0.000506,0.133,0.0343,0,188400,11,1941,1941,My Old Flame (with Benny Goodman),,Avant-Garde,15.0
67486,['Peggy Lee'],[467749],0.816,0.286,0.634,120.552,-9.621,0,0,0.963,0.00421,0.141,0.0357,0,202000,10,1941,1941,Not Care In the World,,Avant-Garde,15.0
67487,['Peggy Lee'],[467749],0.75,0.245,0.797,137.091,-11.973,1,5,0.839,9.11e-05,0.0785,0.0436,0,120800,10,1941,1941,Let's Do It (Let's Fall In Love),,Avant-Garde,15.0
67488,['Peggy Lee'],[467749],0.622,0.153,0.432,88.407,-10.404,1,8,0.958,0.00834,0.119,0.0355,0,197907,10,1941,1941,Not Mine,,Avant-Garde,15.0
67489,['Peggy Lee'],[467749],0.708,0.295,0.593,144.261,-10.028,0,9,0.794,0.000189,0.105,0.042,0,195067,10,1941,1941,You're Easyto Dance With,,Avant-Garde,15.0
67490,['Peggy Lee'],[467749],0.529,0.17,0.364,106.932,-11.56,0,0,0.97,0.284,0.34,0.0285,0,188533,11,1941,1941,That's the Way It Goes,,Avant-Garde,15.0
67491,['Peggy Lee'],[467749],0.688,0.181,0.283,114.703,-12.471,0,7,0.981,0.213,0.218,0.0332,0,200293,10,1941,1941,How **** Is the Ocean,,Avant-Garde,15.0
67492,['Peggy Lee'],[467749],0.553,0.246,0.65,141.486,-11.93,1,2,0.944,0.0197,0.105,0.0328,0,196640,10,1941,1941,Full Moon,,Avant-Garde,15.0
67493,['Peggy Lee'],[467749],0.354,0.215,0.229,105.779,-12.022,1,1,0.949,0.00905,0.254,0.0311,0,189627,9,1941,1941,Let's Say a Prayer,,Avant-Garde,15.0
67494,['Peggy Lee'],[467749],0.336,0.11,0.346,87.353,-13.558,1,3,0.971,0.000736,0.0986,0.0312,0,197333,10,1941,1941,The Lamp of Memory,,Avant-Garde,15.0
67495,['Peggy Lee'],[467749],0.302,0.126,0.207,88.183,-12.769,1,0,0.959,0.202,0.508,0.0367,0,172440,10,1941,1941,When the Roses Bloom *****,,Avant-Garde,15.0
67496,['Peggy Lee'],[467749],0.704,0.316,0.763,140.999,-10.951,0,10,0.965,0.0166,0.418,0.037,0,160067,10,1941,1941,There Won't Be a Shortage of Love,,Avant-Garde,15.0
