,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),Unnamed: 19,genre,genre_id
72528,['Roaring Lion'],[230886],0.811,0.239,0.941,94.731,-15.595,0,2,0.99,0.438,0.13,0.189,0,135800,0,1930,1/1/1930,*******,,International,9.0
72531,['Roaring Lion'],[230886],0.664,0.374,0.955,82.368,-14.835,0,9,0.924,0.00132,0.0915,0.0952,0,192933,14,1930,1/1/1930,The ***** Dance,,International,9.0
54908,['Lord Melody'],[828756],0.608,0.636,0.961,185.964,-1.922,1,9,0.971,1.39e-05,0.157,0.221,0,200707,2,1930,1/1/1930,Mama Look a Boo Boo,,International,9.0
54899,['Lord Kitchener'],[828768],0.817,0.559,0.908,140.984,-1.991,1,8,0.966,0.0248,0.0974,0.141,0,179080,1,1930,1/1/1930,Muriel and the Bug,,International,9.0
54900,['Lord Kitchener'],[828768],0.683,0.578,0.881,140.157,-0.934,1,0,0.97,6.25e-05,0.227,0.112,0,182413,0,1930,1/1/1930,Wife and ******,,International,9.0
54901,['Lord Kitchener'],[828768],0.699,0.962,0.965,105.395,0.523,1,5,0.835,0.157,0.0996,0.0412,0,211307,1,1930,1/1/1930,Trouble in Arima,,International,9.0
54902,['Lord Kitchener'],[828768],0.591,0.218,0.902,104.152,-16.145,0,8,0.989,0.023,0.296,0.262,0,165329,0,1930,1/1/1930,Poppy Day,,International,9.0
50287,['King Radio'],[91852],0.714,0.308,0.923,92.215,-16.061,1,8,0.961,7.55e-06,0.182,0.0729,0,178467,0,1930,1/1/1930,Jitterbug,,International,9.0
50288,['King Radio'],[91852],0.574,0.563,0.961,101.324,-6.797,1,2,0.7,1.09e-06,0.145,0.0775,0,171442,2,1930,1/1/1930,Matilda,,International,9.0
51823,['Lata Mangeshkar'],[132940],0.439,0.312,0.699,112.075,-12.679,0,8,0.95,7.15e-06,0.0829,0.0437,0,266333,17,1937,12/1/1937,Tasveer Teri Dil Mein,,International,9.0
51834,['Lata Mangeshkar'],[132940],0.316,0.326,0.489,138.937,-11.267,0,1,0.982,0.0501,0.157,0.0349,0,256387,5,1937,12/1/1937,Ja Re Ja Re Ud Ja Re Panchhi,,International,9.0
51835,['Lata Mangeshkar'],[132940],0.34,0.306,0.706,143.731,-14.054,1,1,0.921,0.000508,0.153,0.0309,0,249333,2,1937,12/1/1937,Ae Dil Kahan Teri Manzil - Happy Version,,International,9.0
51875,['Lata Mangeshkar'],[132940],0.377,0.339,0.561,142.149,-9.971,1,1,0.98,0.0656,0.209,0.0304,0,145440,2,1937,12/1/1937,Ae Dil Kahan Teri Manzil - Sad Version,,International,9.0
51924,['Lata Mangeshkar'],[132940],0.414,0.329,0.803,123.243,-14.121,1,5,0.971,0.385,0.15,0.0533,0,202707,1,1937,12/1/1937,Phir Ek Baar Kaho,,International,9.0
9383,['Asha Bhosle'],[615026],0.441,0.452,0.929,179.199,-12.866,0,10,0.97,0.116,0.161,0.178,0,215920,1,1937,12/1/1937,Jadu Dale Hai Machal Machal,,International,9.0
51854,['Lata Mangeshkar'],[132940],0.457,0.365,0.837,96.928,-10.516,1,8,0.98,0.00387,0.175,0.0296,0,220600,1,1939,12/16/1939,Kal Ke Sapne Aaj Bhi Aana,,International,9.0
51876,['Lata Mangeshkar'],[132940],0.369,0.41,0.739,150.477,-10.734,1,5,0.986,0.0018,0.326,0.0335,0,266027,2,1939,12/16/1939,Kari Badariya,,International,9.0
51551,"['Lata Mangeshkar', 'Asha Bhosle']","[132940, 615026]",0.487,0.765,0.96,71.824,-5.936,0,3,0.804,0.000162,0.698,0.0958,0,255608,0,1940,12/1/1940,Dhadka O Dil Dhadka,,International,9.0
51897,['Lata Mangeshkar'],[132940],0.357,0.225,0.453,180.081,-10.055,0,11,0.93,0.00406,0.188,0.0432,0,197747,3,1940,12/1/1940,Woh Dil Kahan Se Laoon,,International,9.0
