,artist_names,artists_id,danceability,energy,valence,tempo,loudness,mode,key,acousticness,instrumentalness,liveness,speechiness,explicit,duration_ms,popularity,year,release_date,song_title (censored),Unnamed: 19,genre,genre_id
7791,['Andra茅 Crouch'],[31263],0.68,0.317,0.494,85.615,-14.109,1,1,0.473,2.45e-05,0.126,0.0299,0,323507,5,1942,1942,Come Home,,Religious,8.0
41256,['Jaci Velasquez'],[104217],0.488,0.366,0.167,82.078,-10.196,1,5,0.798,1.5e-05,0.11,0.0269,0,205605,4,1951,1951,Unforgettable,,Religious,8.0
76212,['Sister Rosetta Tharpe'],[13511],0.305,0.398,0.212,108.076,-4.979,1,2,0.953,5.02e-06,0.129,0.0303,0,205898,7,1951,10/13/1951,Amazing Grace,,Religious,8.0
76214,['Sister Rosetta Tharpe'],[13511],0.353,0.31,0.349,102.987,-7.085,1,10,0.879,8.25e-06,0.106,0.0588,0,180662,7,1951,10/13/1951,Blessed *********,,Religious,8.0
76215,['Sister Rosetta Tharpe'],[13511],0.341,0.423,0.54,92.943,-4.012,1,5,0.893,0.0,0.12,0.0309,0,147495,6,1951,10/13/1951,There's A Fountain Filled With Blood,,Religious,8.0
76216,['Sister Rosetta Tharpe'],[13511],0.261,0.333,0.229,99.547,-9.4,1,8,0.896,0.000428,0.236,0.0417,0,194122,7,1951,10/13/1951,Rock Of Ages,,Religious,8.0
76218,['Sister Rosetta Tharpe'],[13511],0.66,0.446,0.771,143.585,-6.068,1,5,0.94,4.19e-05,0.118,0.0456,0,173179,4,1951,10/13/1951,Jesus Remembers,,Religious,8.0
76219,['Sister Rosetta Tharpe'],[13511],0.355,0.279,0.293,100.538,-7.715,1,0,0.655,5.55e-05,0.177,0.0558,0,170844,4,1951,10/13/1951,Throw Out The Life Line,,Religious,8.0
76220,['Sister Rosetta Tharpe'],[13511],0.62,0.598,0.954,140.218,-7.379,1,3,0.801,0.0891,0.208,0.0359,0,176613,5,1951,10/13/1951,***** Mighty ****,,Religious,8.0
76221,['Sister Rosetta Tharpe'],[13511],0.34,0.37,0.314,101.202,-6.528,1,3,0.817,1.64e-06,0.128,0.0515,0,186717,5,1951,10/13/1951,In The Garden,,Religious,8.0
76223,['Sister Rosetta Tharpe'],[13511],0.511,0.495,0.51,94.421,-3.599,1,3,0.903,0.0,0.0996,0.037,0,175169,4,1951,10/13/1951,What A Friend We Have In Jesus,,Religious,8.0
76224,['Sister Rosetta Tharpe'],[13511],0.742,0.631,0.882,142.236,-5.907,1,0,0.743,0.00013,0.0644,0.0391,0,147391,4,1951,10/13/1951,******** Needs Jesus,,Religious,8.0
76225,['Sister Rosetta Tharpe'],[13511],0.24,0.376,0.158,97.35,-7.297,1,5,0.923,8.45e-06,0.148,0.0359,0,194927,5,1951,10/13/1951,Let The Lower Lights Be Burning,,Religious,8.0
76202,['Sister Rosetta Tharpe'],[13511],0.308,0.479,0.558,179.133,-3.96,0,7,0.852,0.0,0.122,0.0473,0,156511,8,1956,3/23/1956,Two Little ****** Five Loaves Of Bread,,Religious,8.0
76203,['Sister Rosetta Tharpe'],[13511],0.517,0.882,0.713,143.112,-5.698,0,5,0.767,0.0,0.152,0.104,0,147701,7,1956,3/23/1956,Fly Away,,Religious,8.0
76204,['Sister Rosetta Tharpe'],[13511],0.59,0.538,0.547,93.417,-4.535,1,0,0.831,0.0,0.122,0.032,0,204960,8,1956,3/23/1956,Beams Of Heaven,,Religious,8.0
76205,['Sister Rosetta Tharpe'],[13511],0.563,0.914,0.925,142.007,-5.14,1,10,0.692,0.0,0.241,0.0481,0,147941,6,1956,3/23/1956,Up Above My Head I Hear Music In The Air,,Religious,8.0
